"target","m","v","sigma","mean","median","var","bci_lwr","bci_upr","hpd_lwr","hpd_upr","percentile","p","eff","rho","v_p.asymp_var","v_p.iid_var"
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_lwr_p",0.025,0.0625,0.908438231935669,0.192710734894646,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_upr_p",0.975,0.0625,0.882383869314931,0.149509544304809,0.024375
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_upr_p",0.975,0.0625,0.884939516527414,0.152874454209836,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_upr_p",0.975,0.0625,0.908438231935669,0.192710734894644,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_lwr_p",0.0229971901202388,0.0625,0.882383869314931,0.135120178109194,0.0224683193668124
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"hpd_lwr_p",0.00923741180576316,0.0625,0.884939516527414,0.0457589494057536,0.00915208202889391
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"hpd_lwr_p",0.000114590993965996,0.0625,0.908438231935669,0.000352321197296426,0.000114577862870098
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_upr_p",0.972997190120239,0.0625,0.882383869314931,0.164134261115332,0.0262736581383585
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"hpd_upr_p",0.959237411805763,0.0625,0.884939516527414,0.275819714099035,0.039100999597944
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"hpd_upr_p",0.950114590993966,0.0625,0.908438231935669,0.443601033283758,0.0473968549743347
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_lwr_p",0.0249999999999997,0.1,0.818224899073444,0.0963487827852624,0.0243749999999997
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_lwr_p",0.025,0.1,0.822020539146366,0.0984107718241567,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_lwr_p",0.025,0.1,0.857264800238825,0.122914629838406,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_upr_p",0.975,0.1,0.818224899073444,0.0963487827852507,0.024375
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_upr_p",0.975,0.1,0.822020539146366,0.0984107718241574,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_upr_p",0.975,0.1,0.857264800238825,0.122914629838406,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_lwr_p",0.0229971901202388,0.1,0.818224899073444,0.0871613063738916,0.0224683193668124
